betae (β_e) in 2009 and 2011 
Latitude is planetocentric and pressure unit is mbar
Unit of betae is 1e-12 1/(s*m) 
Data in each pressure level with varying latitude is saved 

Pressure level 508.1449 mbar
pressure latitude  betae(2009)  betae(2011)  
  338.47   77.00     11.716     6.735
  338.47   78.00     -1.439    -4.114
  338.47   79.00     -3.739    -2.838
  338.47   80.00     -7.978    -6.811
  338.47   81.00     -3.621    -7.242
  338.47   82.00      3.839    -7.594
  338.47   83.00      8.259    -9.917
  338.47   84.00     12.276    -7.384
  338.47   85.00     13.454    -1.187
  338.47   86.00     13.832     6.687
  338.47   87.00     13.166    11.527
  338.47   88.00     16.724    23.282
  338.47   89.00     15.104    27.035
  338.47   90.00      1.484     0.843

Pressure level 295.5954 mbar
pressure latitude  betae(2009)  betae(2011)  
  295.60  -90.00    -46.000    46.000
  295.60  -89.00    -13.040     4.036
  295.60  -88.00     -5.462     3.603
  295.60  -87.00    -13.380    22.757
  295.60  -86.00     -2.598    -0.635
  295.60  -85.00     -4.199     1.421
  295.60  -84.00     -1.174     0.821
  295.60  -83.00     -7.667    -2.414
  295.60  -82.00     -7.176    -0.779
