Cassini CIRS temperature and derived zonal winds  
Latitude is planetocentric, pressure unit is mbar, and wind & uncertainty unit is m/s
Data in each pressure level with varying latitude is saved 

Pressure level 508.1449 mbar
pressure latitude  temperature  wind   wind-uncertainty
  387.57  -57.00    101.222    83.714     2.508
  387.57  -56.00    101.151   140.378     1.512
  387.57  -55.00    101.032   135.306     1.212
  387.57  -54.00    100.989   113.494     1.534
  387.57  -53.00    101.092    94.303     1.698
  387.57  -52.00    101.319    72.630     1.831
  387.57  -51.00    101.466    51.425     1.797
  387.57  -50.00    101.620    33.168     1.595
  387.57  -49.00    101.860    23.216     1.155
  387.57  -48.00    102.067    21.520     1.829
  387.57  -47.00    102.218    30.513     1.450
  387.57  -46.00    102.369    47.190     2.648
  387.57  -45.00    102.508    71.292     1.439
  387.57  -44.00    102.472   101.619     2.129
  387.57  -43.00    102.244   126.878     2.281
  387.57  -42.00    101.992   129.943     2.354
  387.57  -41.00    101.851    89.807     1.248
  387.57  -40.00    101.872    51.692     1.580
  387.57  -39.00    102.006    23.289     2.084
  387.57  -38.00    102.154     7.940     3.155
  387.57  -37.00    102.258    -2.224     3.055
  387.57  -36.00    102.335    -7.008     1.171
  387.57  -35.00    102.343   -11.632     1.011
  387.57  -34.00    102.326   -12.228     1.272
  387.57  -33.00    102.314    -0.817     2.193
  387.57  -32.00    102.418    19.019     1.448
  387.57  -31.00    102.567    43.831     1.354
  387.57  -30.00    102.601    52.928     2.887
  387.57  -29.00    102.550    62.762     2.934
  387.57  -28.00    102.436    81.987     2.976
  387.57  -27.00    102.326    79.543     1.458
  387.57  -26.00    102.234    62.985     1.386
  387.57  -25.00    102.173    60.829     2.595
  387.57  -24.00    102.172    74.652     3.353
  387.57  -23.00    102.186    95.851     1.088
  387.57  -22.00    102.222   110.344     1.557
  387.57  -21.00    102.290   126.099     1.478
  387.57  -20.00    102.403   136.732     3.239
  387.57  -19.00    102.495   157.770     2.281
  387.57  -18.00    102.539   175.881     5.364
  387.57  -17.00    102.606   204.053     3.529
  387.57  -16.00    102.728   223.569     4.808
  387.57  -15.00    102.804   238.710     4.359
  387.57  -14.00    102.852   253.383     6.250
  387.57  -13.00    102.817   274.810     4.138
  387.57  -12.00    102.628   303.671     8.748
  387.57  -11.00    102.281   331.038    10.219
  387.57  -10.00    101.816   344.648     8.885
  387.57   -9.00    101.276   356.011     7.332
  387.57   -8.00    100.708   359.221    12.098
  387.57   -7.00    100.148   359.240     5.799
  387.57   -6.00     99.604   353.608     6.911
  387.57   -5.00     99.117   343.267     8.447
  387.57   -4.00     98.702   332.137    10.900
  387.57   -3.00     98.351   323.500    10.638
  387.57   -2.00     98.054   321.637    11.998
  387.57   -1.00     97.844   349.471    13.975
  387.57    0.00     97.755   386.141    18.183
  387.57    1.00     97.826   361.846    22.391
  387.57    2.00     98.026   329.983    22.308
  387.57    3.00     98.320   332.834    20.947
  387.57    4.00     98.674   345.409    19.973
  387.57    5.00     99.077   355.038    25.100
  387.57    6.00     99.508   368.383    21.746
  387.57    7.00     99.918   377.584    11.035
  387.57    8.00    100.265   375.570    11.498
  387.57    9.00    100.608   361.084    10.674
  387.57   10.00    100.710   352.196     5.996
  387.57   11.00    100.673   330.465     6.750
  387.57   12.00    100.512   310.681     6.748
  387.57   13.00    100.280   298.866     5.360
  387.57   14.00     99.997   261.116     2.261
  387.57   15.00     99.688   235.847     3.900
  387.57   16.00     99.443   215.427     3.301
  387.57   17.00     99.230   199.731     6.562
  387.57   18.00     99.043   184.563     2.460
  387.57   19.00     98.920   168.145     3.537
  387.57   20.00     98.896   151.402     5.036
  387.57   21.00     98.891   130.556     7.054
  387.57   22.00     98.792   113.774     3.846
  387.57   23.00     98.606    98.651     3.054
  387.57   24.00     98.435    88.117     1.739
  387.57   25.00     98.381    76.158     2.619
  387.57   26.00     98.392    73.187     3.511
  387.57   27.00     98.417    73.678     2.415
  387.57   28.00     98.452    61.468     2.166
  387.57   29.00     98.447    59.259     1.108
  387.57   30.00     98.367    54.282     2.452
  387.57   31.00     98.178    31.018     2.784
  387.57   32.00     97.939     6.656     2.215
  387.57   33.00     97.765   -14.583     3.590
  387.57   34.00     97.616   -20.742     2.267
  387.57   35.00     97.507   -17.196     1.730
  387.57   36.00     97.440    -9.126     2.000
  387.57   37.00     97.409     2.027     2.840
  387.57   38.00     97.444    22.995     2.979
  387.57   39.00     97.594    53.744     3.003
  387.57   40.00     97.904    86.744     1.878
  387.57   41.00     98.297   125.978     2.236
  387.57   42.00     98.621   138.387     2.029
  387.57   43.00     98.832   120.743     2.013
  387.57   44.00     98.986    67.774     1.261
  387.57   45.00     99.116    45.875     1.504
  387.57   46.00     99.238    24.335     0.962
  387.57   47.00     99.347    14.341     1.432
  387.57   48.00     99.403     4.894     1.312
