Zonal winds (U) measured by Cassini VIMS 5um images
Latitude is planetocentric and the unit of wind & wind uncertainty is m/s 
Raw data in different years is saved first (panel A of Fig. 10)
Averaged winds in each latitude bin are saved second (panel B of Fig. 10)

Raw data of zonal winds in 2006
latitude  zonal-wind  uncertainty
 22.50    107.379      12.714
 23.50     93.156      21.926
 24.50     73.825      13.179
 25.50     81.586      21.353
 26.50     70.141      31.821
 27.50     71.466       9.213
 28.50     72.786      17.082
 29.50     59.534       8.670
 32.50      2.782      17.430
 33.50     -4.653      31.821

Average data of zonal winds in 2009
latitude  zonal-wind  uncertainty
-33.50    -20.426      47.305
-31.50      5.987      36.078
-30.50     28.613      27.403
-29.50     39.694      49.273
-28.50     53.313      49.273
-27.50     73.520      18.904
-24.50     65.429      29.230
-22.50     74.722      36.578
-21.50     83.550      36.078
-20.50     79.935      24.840
-18.50    129.613      28.760
-16.50    186.964      24.599
-15.50    221.967      19.917
-14.50    216.779      34.153
-13.50    266.398      18.336
-12.50    320.532      47.305
-11.50    307.185      21.240
-10.50    333.669      30.983
 -9.50    348.122      36.578
 -8.50    367.095      13.814
 -7.50    377.163      13.954
 -6.50    375.629      27.014
 -5.50    403.159      47.305
  2.50    448.259      21.124
  5.50    397.283      12.685
  6.50    399.901      17.086
  7.50    399.372       7.318
  8.50    377.571       9.036
  9.50    368.587       8.016
 10.50    356.557      12.700
 11.50    331.387      21.647
 12.50    274.272      25.934
 13.50    265.148      12.515
 14.50    233.498       8.681
 15.50    215.507      10.427
 16.50    198.662       9.601
 17.50    184.751       8.275
 18.50    155.681      25.813
 19.50    158.491      10.892
 20.50    130.190      10.621
 21.50    120.097      13.927
 22.50    105.118      14.001

Average data of zonal winds in 2011
latitude  zonal-wind  uncertainty
 -9.50    359.807      29.510
 -8.50    392.763      20.752
 -7.50    388.127       8.892
 -6.50    363.053      41.734
 -5.50    394.984      24.351
 -4.50    368.907      24.552
 -3.50    417.934      20.289
  2.50    362.416      40.662
  3.50    338.761      40.662
  5.50    402.742      12.272
  6.50    393.512       6.962
  7.50    400.116       3.992
  8.50    391.392       5.199
  9.50    374.322       5.714
 10.50    350.093       6.589

Average data of zonal winds in 2015
latitude  zonal-wind  uncertainty
-40.00     56.910      17.281
-39.50     47.734      16.819
-39.00     38.559      16.357
-38.50     29.071      15.879
-38.00     19.584      15.402
-37.50     10.983      16.600
-37.00      2.383      17.799
-36.50     -1.227      17.259
-36.00     -4.836      16.720
-35.50     -6.710      16.179
-35.00     -8.584      15.638
-34.50    -10.508      15.458
-34.00    -12.432      15.279
-33.50    -12.515      15.098
-33.00    -12.598      14.918
-32.50     -5.023      14.737
-32.00      2.552      14.556
-31.50     13.663      15.410
-31.00     24.774      16.265
-30.50     35.922      15.572
-30.00     47.069      14.880
-29.50     59.245      14.967
-29.00     71.420      15.055
-28.50     75.861      15.077
-28.00     80.302      15.099
-27.50     84.755      15.155
-27.00     89.208      15.211
-26.50     80.108      15.166
-26.00     71.008      15.121
-25.50     68.600      15.117
-25.00     66.192      15.113
-24.50     70.681      15.151
-24.00     75.170      15.190
-23.50     86.746      15.272
-23.00     98.323      15.354
-22.50    105.831      15.411
