Brunt-Väisälä frequency (N), vertical shear of zonal wind (dUdz), and Richardson number (Ri) 
Latitude is planetocentric and pressure unit is mbar
N unit is 1e-3 1/s, dUdz unit is 1e-3 1/s, and Ri is unitless 
Data in each pressure level with varying latitude is saved 

Pressure level 508.1449 mbar
pressure latitude       N       dUdz       Ri
  443.78   30.00      4.919     0.062   174.167
  443.78   31.00      4.866     0.081   170.391
  443.78   32.00      4.793     0.088   165.349
  443.78   33.00      4.714     0.077   159.936
  443.78   34.00      4.627     0.049   154.066
  443.78   35.00      4.537     0.010   148.132
  443.78   36.00      4.455    -0.030   142.866
  443.78   37.00      4.382    -0.077   138.226
  443.78   38.00      4.334    -0.124   135.195
  443.78   39.00      4.319    -0.162   134.275
  443.78   40.00      4.341    -0.182   135.649
  443.78   41.00      4.381    -0.173   138.151
  443.78   42.00      4.412    -0.142   140.095
  443.78   43.00      4.419    -0.107   140.541
  443.78   44.00      4.392    -0.080   138.812
  443.78   45.00      4.338    -0.059   135.440
  443.78   46.00      4.275    -0.046   131.518
  443.78   47.00      4.216    -0.028   127.935
  443.78   48.00      4.158    -0.017   124.432
  443.78   49.00      4.092    -0.009   120.491
  443.78   50.00      4.016    -0.009   116.105
  443.78   51.00      3.931    -0.014   111.222
  443.78   52.00      3.848    -0.022   106.549
  443.78   53.00      3.781    -0.032   102.904
  443.78   54.00      3.733    -0.043   100.297
  443.78   55.00      3.717    -0.049    99.420
  443.78   56.00      3.718    -0.048    99.514
  443.78   57.00      3.723    -0.038    99.764
  443.78   58.00      3.720    -0.027    99.590
  443.78   59.00      3.667    -0.020    96.766
  443.78   60.00      3.567    -0.011    91.592
  443.78   61.00      3.472     0.002    86.755
  443.78   62.00      3.442     0.019    85.254
  443.78   63.00      3.518     0.041    89.065
  443.78   64.00      3.670     0.057    96.935
  443.78   65.00      3.839     0.059   106.052
  443.78   66.00      4.005     0.051   115.434
  443.78   67.00      4.135     0.038   123.068
  443.78   68.00      4.201     0.019   127.026
  443.78   69.00      4.248     0.005   129.891
  443.78   70.00      4.276     0.002   131.568
  443.78   71.00      4.321     0.012   134.346
  443.78   72.00      4.396     0.026   139.107
  443.78   73.00      4.504     0.035   146.022
  443.78   74.00      4.629     0.037   154.212
  443.78   75.00      4.756     0.031   162.777
  443.78   76.00      4.864     0.027   170.295
  443.78   77.00      4.943     0.025   175.882
  443.78   78.00      4.985     0.018   178.822
  443.78   79.00      4.957     0.007   176.847
  443.78   80.00      4.850     0.003   169.326
  443.78   81.00      4.708     0.002   159.493
  443.78   82.00      4.572     0.004   150.410
  443.78   83.00      4.507     0.007   146.197
  443.78   84.00      4.510     0.010   146.379
  443.78   85.00      4.518     0.012   146.918
  443.78   86.00      4.536     0.012   148.088
  443.78   87.00      4.557     0.012   149.476
  443.78   88.00      4.563     0.017   149.848
  443.78   89.00      4.608     0.017   152.826
  443.78   90.00      4.658     0.002   156.152

Pressure level 387.5681 mbar
pressure latitude       N       dUdz       Ri
  387.57  -90.00      8.107    -0.095   472.958
  387.57  -89.00      8.143    -0.095   477.211
  387.57  -88.00      8.176    -0.049   481.084
  387.57  -87.00      8.180    -0.070   481.613
  387.57  -86.00      8.199    -0.051   483.852
  387.57  -85.00      8.217    -0.061   485.918
  387.57  -84.00      8.230    -0.051   487.442
  387.57  -83.00      8.235    -0.044   488.100
  387.57  -82.00      8.226    -0.033   486.986
  387.57  -81.00      8.187    -0.024   482.439
  387.57  -80.00      8.132    -0.012   475.928
  387.57  -79.00      8.079    -0.000   469.735
  387.57  -78.00      8.046     0.015   465.899
  387.57  -77.00      8.021     0.029   462.999
  387.57  -76.00      8.024     0.040   463.342
  387.57  -75.00      8.050     0.047   466.425
  387.57  -74.00      8.103     0.041   472.564
  387.57  -73.00      8.153     0.019   478.402
  387.57  -72.00      8.193     0.010   483.052
  387.57  -71.00      8.208     0.012   484.913
  387.57  -70.00      8.197     0.022   483.524
  387.57  -69.00      8.167     0.032   480.068
  387.57  -68.00      8.140     0.031   476.884
  387.57  -67.00      8.132     0.017   475.950
  387.57  -66.00      8.150    -0.001   478.053
  387.57  -65.00      8.186    -0.018   482.337
  387.57  -64.00      8.233    -0.025   487.838
  387.57  -63.00      8.283    -0.014   493.786
  387.57  -62.00      8.324     0.008   498.660
  387.57  -61.00      8.345     0.022   501.162
  387.57  -60.00      8.362     0.030   503.193
  387.57  -59.00      8.358     0.032   502.737
  387.57  -58.00      8.341     0.027   500.662
  387.57  -57.00      8.300     0.020   495.791
  387.57  -56.00      8.237     0.016   488.338
  387.57  -55.00      8.158     0.025   479.044
  387.57  -54.00      8.077     0.048   469.577
  387.57  -53.00      8.013     0.073   462.067
  387.57  -52.00      7.973     0.081   457.536
  387.57  -51.00      7.940     0.079   453.695
  387.57  -50.00      7.930     0.086   452.553
  387.57  -49.00      7.926     0.078   452.161
  387.57  -48.00      7.934     0.050   453.023
  387.57  -47.00      7.938     0.021   453.542
  387.57  -46.00      7.920    -0.002   451.413
  387.57  -45.00      7.871    -0.024   445.880
  387.57  -44.00      7.791    -0.039   436.841
  387.57  -43.00      7.691    -0.039   425.711
  387.57  -42.00      7.594    -0.027   415.063
  387.57  -41.00      7.514    -0.008   406.373
  387.57  -40.00      7.461     0.017   400.676
  387.57  -39.00      7.448     0.026   399.268
  387.57  -38.00      7.466     0.016   401.152
  387.57  -37.00      7.499    -0.001   404.711
  387.57  -36.00      7.542    -0.005   409.434
  387.57  -35.00      7.585     0.010   414.057
  387.57  -34.00      7.623     0.034   418.206
  387.57  -33.00      7.652     0.049   421.400
  387.57  -32.00      7.659     0.052   422.170
  387.57  -31.00      7.633     0.034   419.267
  387.57  -30.00      7.586    -0.003   414.182
  387.57  -29.00      7.523    -0.033   407.323
  387.57  -28.00      7.458    -0.053   400.283
  387.57  -27.00      7.406    -0.056   394.799
  387.57  -26.00      7.382    -0.037   392.145
  387.57  -25.00      7.385    -0.008   392.554
  387.57  -24.00      7.398     0.021   393.865
  387.57  -23.00      7.408     0.044   394.963
  387.57  -22.00      7.421     0.063   396.371
  387.57  -21.00      7.431     0.085   397.447
  387.57  -20.00      7.445     0.101   398.936
  387.57  -19.00      7.460     0.116   400.482
  387.57  -18.00      7.466     0.129   401.177
  387.57  -17.00      7.457     0.147   400.197
  387.57  -16.00      7.429     0.138   397.214
  387.57  -15.00      7.379     0.102   391.874
  387.57  -14.00      7.299     0.032   383.453
  387.57  -13.00      7.182    -0.083   371.187
  387.57  -12.00      7.023    -0.252   354.939
  387.57  -11.00      6.833    -0.444   236.525
  387.57  -10.00      6.620    -0.641   106.753
  387.57   -9.00      6.391    -0.840    57.936
  387.57   -8.00      6.151    -1.047    34.541
  387.57   -7.00      5.904    -1.251    22.266
  387.57   -6.00      5.660    -1.481    14.602
  387.57   -5.00      5.442    -1.749     9.677
  387.57   -4.00      5.269    -1.893     7.751
  387.57   -3.00      5.156    -1.865     7.648
  387.57   -2.00      5.106    -1.647     9.614
  387.57   -1.00      5.110    -1.286    15.802
  387.57    0.00      5.156    -1.050    24.096
  387.57    1.00      5.235    -1.439    13.237
  387.57    2.00      5.339    -1.767     9.125
  387.57    3.00      5.469    -1.956     7.813
  387.57    4.00      5.622    -1.738    10.467
  387.57    5.00      5.794    -1.565    13.704
  387.57    6.00      5.976    -1.283    21.707
  387.57    7.00      6.156    -1.026    36.007
  387.57    8.00      6.319    -0.746    71.792
  387.57    9.00      6.456    -0.471   187.840
  387.57   10.00      6.559    -0.191   309.619
  387.57   11.00      6.621     0.061   315.478
  387.57   12.00      6.649     0.237   318.133
  387.57   13.00      6.640     0.310   317.358
  387.57   14.00      6.593     0.345   312.826
  387.57   15.00      6.518     0.343   305.756
  387.57   16.00      6.434     0.311   297.911
  387.57   17.00      6.351     0.282   290.326
  387.57   18.00      6.280     0.224   283.867
  387.57   19.00      6.234     0.177   279.663
  387.57   20.00      6.199     0.152   276.558
  387.57   21.00      6.174     0.148   274.368
  387.57   22.00      6.159     0.151   273.016
  387.57   23.00      6.147     0.147   271.957
  387.57   24.00      6.135     0.124   270.908
  387.57   25.00      6.121     0.085   269.650
  387.57   26.00      6.106     0.053   268.351
  387.57   27.00      6.110     0.035   268.640
  387.57   28.00      6.124     0.039   269.950
  387.57   29.00      6.140     0.054   271.284
  387.57   30.00      6.146     0.074   271.838
  387.57   31.00      6.128     0.100   270.298
  387.57   32.00      6.088     0.113   266.741
  387.57   33.00      6.033     0.107   261.943
  387.57   34.00      5.965     0.081   256.081
  387.57   35.00      5.892     0.042   249.840
  387.57   36.00      5.820    -0.002   243.773
  387.57   37.00      5.748    -0.055   237.801
  387.57   38.00      5.684    -0.109   232.509
  387.57   39.00      5.638    -0.153   228.764
  387.57   40.00      5.631    -0.179   228.192
  387.57   41.00      5.660    -0.173   230.534
  387.57   42.00      5.704    -0.142   234.165
